prefix	as_path	atomic_aggregate	aggregator	communities	timestamp	origin	collector	prepending	loops	ixps	gao_rexford	new_asns	path_poisoning	country	start_time	end_time	event_number	event_type	url	hijack_detected_as_path	hijack_detected_by_bgpmon_peers	hijack_detected_origin_name	hijack_detected_origin_number	hijack_expected_origin_name	hijack_expected_origin_number	hijack_expected_prefix	hijack_more_specific_prefix	leak_detected_by_bgpmon_peers	leak_example_as_path	leaked_prefix	leaked_to_name	leaked_to_number	leaker_as_name	leaker_as_number	leak_origin_as_name	leak_origin_as_number	outage_as_name	outage_as_number	outage_number_prefixes_affected	outage_percent_prefixes_affected	roa_validity	prefix_id	block_id	prefix_block_id	url_1	source
1.4.240.0/21	{22742,6939,4651,23969}				1607071179	23969	22742	0	0	0	0	0	0																												1	237	0	237	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.4.248.0/23	{22742,3257,9002,38040,23969}			3257:8791 3257:50001 3257:53100 3257:53101 NO_PEER	1610813767	23969	22742	0	0	0	0	0	0																												1	238	0	238	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.4.250.0/23	{22742,3257,9002,38040,23969}			3257:8791 3257:50001 3257:53100 3257:53101 NO_PEER	1610813767	23969	22742	0	0	0	0	0	0																												1	239	0	239	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.4.252.0/22	{22742,6939,4651,23969}				1610989087	23969	22742	0	0	0	0	0	0																												1	240	0	240	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.5.0.0/16	{22742,3257,17676,4725}			3257:8046 3257:30356 3257:50002 3257:51200 3257:51202	1611174619	4725	22742	0	0	0	0	0	0																												1	241	0	241	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.6.0.0/22	{22742,3257,1299,9583}			3257:8138 3257:30456 3257:50002 3257:51100 3257:51105	1610340834	9583	22742	0	0	0	0	0	0																												0	242	0	242	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.6.1.0/24	{22742,3257,1299,9583}			3257:8138 3257:30456 3257:50002 3257:51100 3257:51105	1610340834	9583	22742	0	0	0	0	0	0																												0	243	0	243	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.6.4.0/22	{22742,3257,1299,9583}			3257:8138 3257:30456 3257:50002 3257:51100 3257:51105	1610340834	9583	22742	0	0	0	0	0	0																												0	244	0	244	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.6.6.0/24	{22742,3257,174,9583}			3257:8040 3257:30156 3257:50002 3257:51100 3257:51101	1610825560	9583	22742	0	0	0	0	0	0																												0	245	0	245	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.6.8.0/22	{22742,3257,1299,9583}			3257:8138 3257:30456 3257:50002 3257:51100 3257:51105	1610340834	9583	22742	0	0	0	0	0	0																												0	246	0	246	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.6.12.0/22	{22742,3257,1299,9583}			3257:8138 3257:30456 3257:50002 3257:51100 3257:51105	1610340834	9583	22742	0	0	0	0	0	0																												0	247	0	247	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.6.16.0/22	{22742,3257,1299,9583}			3257:8138 3257:30456 3257:50002 3257:51100 3257:51105	1610340834	9583	22742	0	0	0	0	0	0																												0	248	0	248	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.6.20.0/22	{22742,3257,1299,9583}			3257:8138 3257:30456 3257:50002 3257:51100 3257:51105	1610340834	9583	22742	0	0	0	0	0	0																												0	249	0	249	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.6.24.0/22	{22742,3257,1299,9583}			3257:8138 3257:30456 3257:50002 3257:51100 3257:51105	1610340834	9583	22742	0	0	0	0	0	0																												0	250	0	250	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.6.28.0/22	{22742,3257,2914,9583}			3257:8162 3257:30500 3257:50002 3257:51100 3257:51105	1610340888	9583	22742	0	0	0	0	0	0																												0	251	0	251	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.6.32.0/22	{22742,3257,1299,9583}			3257:8138 3257:30456 3257:50002 3257:51100 3257:51105	1610340834	9583	22742	0	0	0	0	0	0																												0	252	0	252	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.6.36.0/22	{22742,3257,1299,9583}			3257:8138 3257:30456 3257:50002 3257:51100 3257:51105	1610340834	9583	22742	0	0	0	0	0	0																												0	253	0	253	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.6.40.0/22	{22742,3257,1299,9583}			3257:8138 3257:30456 3257:50002 3257:51100 3257:51105	1610340834	9583	22742	0	0	0	0	0	0																												0	254	0	254	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.6.42.0/24	{22742,3257,6453,4755,9583}			3257:8187 3257:30115 3257:50002 3257:51100 3257:51101	1611227127	9583	22742	0	0	0	0	0	0																												0	255	0	255	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
